caseId,from,to,timestamp,duration,location
NXS-003,SYN-PHONE-001,SYN-PHONE-137,2026-09-04T11:10:00Z,321,Navapur Sector 3
NXS-003,SYN-PHONE-001,SYN-PHONE-138,2026-09-04T11:20:00Z,162,Navapur Sector 3
NXS-003,SYN-PHONE-001,SYN-PHONE-139,2026-09-04T11:30:00Z,23,Navapur Sector 3
NXS-004,SYN-PHONE-004,SYN-PHONE-140,2026-09-05T10:00:00Z,101,Navapur Sector 4
NXS-004,SYN-PHONE-004,SYN-PHONE-141,2026-09-05T10:10:00Z,236,Navapur Sector 4
NXS-004,SYN-PHONE-004,SYN-PHONE-142,2026-09-05T10:20:00Z,194,Navapur Sector 4
NXS-004,SYN-PHONE-004,SYN-PHONE-143,2026-09-05T10:30:00Z,162,Navapur Sector 4
NXS-004,SYN-PHONE-004,SYN-PHONE-144,2026-09-05T10:40:00Z,99,Navapur Sector 4
NXS-004,SYN-PHONE-004,SYN-PHONE-145,2026-09-05T10:50:00Z,130,Navapur Sector 4
NXS-004,SYN-PHONE-004,SYN-PHONE-146,2026-09-05T11:00:00Z,192,Navapur Sector 4
NXS-004,SYN-PHONE-004,SYN-PHONE-147,2026-09-05T11:10:00Z,72,Navapur Sector 4
NXS-004,SYN-PHONE-004,SYN-PHONE-148,2026-09-05T11:20:00Z,67,Navapur Sector 4
NXS-004,SYN-PHONE-004,SYN-PHONE-149,2026-09-05T11:30:00Z,214,Navapur Sector 4
NXS-005,SYN-PHONE-005,SYN-PHONE-150,2026-09-06T10:00:00Z,69,Navapur Sector 5
NXS-005,SYN-PHONE-005,SYN-PHONE-151,2026-09-06T10:10:00Z,203,Navapur Sector 5
NXS-005,SYN-PHONE-005,SYN-PHONE-152,2026-09-06T10:20:00Z,196,Navapur Sector 5
NXS-005,SYN-PHONE-005,SYN-PHONE-153,2026-09-06T10:30:00Z,329,Navapur Sector 5
NXS-005,SYN-PHONE-005,SYN-PHONE-154,2026-09-06T10:40:00Z,155,Navapur Sector 5
NXS-005,SYN-PHONE-005,SYN-PHONE-155,2026-09-06T10:50:00Z,42,Navapur Sector 5
NXS-005,SYN-PHONE-005,SYN-PHONE-156,2026-09-06T11:00:00Z,255,Navapur Sector 5
NXS-005,SYN-PHONE-005,SYN-PHONE-157,2026-09-06T11:10:00Z,294,Navapur Sector 5
NXS-005,SYN-PHONE-005,SYN-PHONE-158,2026-09-06T11:20:00Z,83,Navapur Sector 5
NXS-005,SYN-PHONE-005,SYN-PHONE-159,2026-09-06T11:30:00Z,213,Navapur Sector 5
NXS-006,SYN-PHONE-006,SYN-PHONE-160,2026-09-07T10:00:00Z,60,Navapur Sector 6
NXS-006,SYN-PHONE-006,SYN-PHONE-161,2026-09-07T10:10:00Z,302,Navapur Sector 6
NXS-006,SYN-PHONE-006,SYN-PHONE-162,2026-09-07T10:20:00Z,170,Navapur Sector 6
NXS-006,SYN-PHONE-006,SYN-PHONE-163,2026-09-07T10:30:00Z,341,Navapur Sector 6
NXS-006,SYN-PHONE-006,SYN-PHONE-164,2026-09-07T10:40:00Z,336,Navapur Sector 6
NXS-006,SYN-PHONE-006,SYN-PHONE-165,2026-09-07T10:50:00Z,205,Navapur Sector 6
NXS-006,SYN-PHONE-006,SYN-PHONE-166,2026-09-07T11:00:00Z,315,Navapur Sector 6
NXS-006,SYN-PHONE-006,SYN-PHONE-167,2026-09-07T11:10:00Z,118,Navapur Sector 6
NXS-006,SYN-PHONE-006,SYN-PHONE-168,2026-09-07T11:20:00Z,55,Navapur Sector 6
NXS-006,SYN-PHONE-006,SYN-PHONE-169,2026-09-07T11:30:00Z,43,Navapur Sector 6
NXS-001,SYN-PHONE-001,SYN-PHONE-800,2026-09-02T15:00:00Z,60,Navapur Exchange
NXS-001,SYN-PHONE-020,SYN-PHONE-800,2026-09-02T15:00:00Z,60,Navapur Exchange
NXS-001,SYN-PHONE-001,SYN-PHONE-800,2026-09-03T15:00:00Z,60,Navapur Exchange
NXS-001,SYN-PHONE-020,SYN-PHONE-800,2026-09-03T15:00:00Z,60,Navapur Exchange
